Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
Usage,使用,"A usage is declared using a keyword specific to the kind of usage (e.g., item, part, action, etc.).","A usage is declared using a keyword specific to the kind of usage (e.g., item, part, action, etc.).",7.6.3,SysML2,7.6
Usage,使用,A Usage is a usage of a Definition.,A Usage is a usage of a Definition.,8.3.6.4,SysML2,8.3
Usage (semantics),使用 (意味論),"A SysML Usage has the semantics of a KerML Feature (see [KerML, 8.4.3.4]).","However, a Usage element is always either instantiated as one of its more specific subclasses (e.g., AttributeUsage, ItemUsage, etc.), or with at least one semantic metadata annotation.",8.4.2.2,SysML2,8.4
Usage element,使用要素,A usage element can be further specialized for its specific context.,"The pattern of definition and usage elements facilitates model reuse, such that a concept can be defined once and then used in many different contexts. A usage element can be further specialized for its specific context.",7.1,SysML2,7.1
Usage element,使用要素,A usage element is a usage of a definition element in a certain context.,A usage element is a usage of a definition element in a certain context.,7.6.1,SysML2,7.6
use case (keyword),use case (キーワード),"A use case definition or usage is declared as a case definition or usage (see 7.22.2 ), using the kind keyword use case.","A use case definition or usage is declared as a case definition or usage (see 7.22.2 ), using the kind keyword use case.",7.25.2,SysML2,7.25
Use Case Definition,ユースケース定義,A use case definition is a kind of case definition (see 7.22 ) that specifies the required behavior of its subject relative to one or more external actors. The objective of the use case is to provide an observable result of value to one or more of its actors.,A use case definition is a kind of case definition (see 7.22 ) that specifies the required behavior of its subject relative to one or more external actors. The objective of the use case is to provide an observable result of value to one or more of its actors.,7.25.1,SysML2,7.25
Use Case Definition (semantics),ユースケース定義 (意味論),A UseCaseDefinition is a kind of CaseDefinition.,"The checkUseCaseDefinitionSpecialization constraint requires that a UseCaseDefinition specialize the base UseCaseDefinition UseCases::UseCase (see 9.2.18.2.1 ), which subclassifies the CaseDefinition Cases::Case (see 9.2.15.2.1 ).",8.4.21.1,SysML2,8.4
Use Case Usage,ユースケース使用,A use case usage is a case usage that is a usage of a use case.,A use case usage is a case usage that is a usage of a use case.,7.25.1,SysML2,7.25
Use Case Usage (semantics),ユースケース使用 (意味論),A UseCaseUsage is a kind of CaseUsage.,"The checkUseCaseUsageSpecialization constraint requires that a UseCaseUsage specialize the base UseCaseUsage UseCases::useCases (see 9.2.18.2.2 ), which is defined by the UseCaseDefinition UseCases::UseCase (see 9.2.18.2.1 ) and subsets the CaseUsage Cases::cases (see 9.2.15.2.2 ).",8.4.21.2,SysML2,8.4
Use cases,ユースケース,"Use cases, that specify required behavior of the subject with the objective of providing a measurable benefit to one or more external actors (see 7.25 ).","The modeling of cases, which define the steps required to produce a desired result relative to a subject, possibly also involving external actors, to achieve a specific objective (see 7.22 ), including: Use cases, that specify required behavior of the subject with the objective of providing a measurable benefit to one or more external actors (see 7.25 ).",7.1,SysML2,7.1
UseCase,ユースケース,UseCase is the most general class of performances of UseCaseDefinitions.,UseCase is the base class of all UseCaseDefinitions.,9.2.18.2.1,SysML2,9.2
useCases,ユースケース群,useCases is the base feature of all UseCaseUsages.,useCases is the base feature of all UseCaseUsages.,9.2.18.2.2,SysML2,9.2
User-defined keyword,ユーザー定義キーワード,A user-defined keyword is the (possibly qualified) name (or short name) of a metadata definition (or KerML metaclass) preceded by the symbol #.,#situation def Failure;,7.27.4,SysML2,7.27
user-defined keyword,ユーザー定義キーワード,A user-defined keyword is a (possibly qualified) metaclass name or short name preceded by the symbol #.,#command behavior Save;,7.4.13,KerML1,7.4
user-defined metadata,ユーザー定義メタデータ,"It is also possible to annotate elements with user-defined metadata, allowing both syntactic and semantic extension of SysML.","It is also possible to annotate elements with user-defined metadata, allowing both syntactic and semantic extension of SysML.",7.4.1,SysML2,7.4
User-defined metadata,ユーザー定義メタデータ,The modeling of user-defined metadata that allows for both simple tagging of elements with additional model-level information and more sophisticated semantic extension of the SysML language.,The modeling of user-defined metadata that allows for both simple tagging of elements with additional model-level information and more sophisticated semantic extension of the SysML language. (See 7.27 .),7.1,SysML2,7.1
UTC,UTC,Representation of the Coordinated Universal Time (UTC) time scale.,Representation of the Coordinated Universal Time (UTC) time scale.,9.8.8.2.14,SysML2,9.8
UTC,協定世界時 (UTC),Representation of the Coordinated Universal Time (UTC) time scale.,Representation of the Coordinated Universal Time (UTC) time scale.,9.8.8.2.14,SysML2,9.4
utcTimeInstant,UTC時点,"(No explicit description, but implied as a UtcTimeInstantValue for UTC time instant)","General Types: UtcTimeInstantValue, timeInstant. Features: None.",9.8.8.2.15,SysML2,9.4
utcTimeInstant,UTC時間インスタント,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,9.8.8.2.15,SysML2,9.8
UtcTimeInstantValue,UTC時点値,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,9.8.8.2.16,SysML2,9.4
UtcTimeInstantValue,UTC時間インスタント値,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,9.8.8.2.16,SysML2,9.8
Value bindings,値バインディング,"If the definition does have features, then the metadata usage must provide value bindings for all of them, specifying metadata for the annotated element.","If the definition does have features, then the metadata usage must provide value bindings for all of them, specifying metadata for the annotated element.",7.27.1,SysML2,7.27
var,変数,The loop variable that is assigned successive elements of seq on each iteration of the loop.,var : Anything,9.2.10.2.12,SysML2,9.2
Variability,可変性,"The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.","The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.",7.6.1,SysML2,7.6
Variability modeling,可変性モデリング,"The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.","Fundamental aspects of constructing a model, including: The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.",7.1,SysML2,7.1
Variant,バリアント,"For each variation, there are design choices called variants.","For each variation, there are design choices called variants.",7.6.1,SysML2,7.6
Variant,バリアント,"The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.","The modeling of variability, which includes the definition of variation points within a model where choices can be made to select a specific variant, and the selection of a particular variant may constrain the allowable choices at other variation points.",7.1,SysML2,7.1
variant (of enumeration definition),バリアント（列挙定義の）,The enumerated values of an enumeration definition are its variants.,An enumeration definition is always considered to be a variation and its enumerated values are its variants.,7.8.1,SysML2,7.8
